No,Date,High,Low,Close,Volume,Open,H-L,3day MA,10day MA,30day MA,CCI,RSI,ATR,OBV,HT_DCPERIOD,Last1Price,Last2Price,Last3Price,Last4Price,Last5Price,tag
32,2014-02-08,730.0,680.01,699.30255,31.04225383,689.0,49.99000000000001,761.4103,796.146558,819.8098843333333,-78.57142857142857,22.70271111112139,40.886459724779534,-168.37792372999996,15.646696015449795,714.12206,767.60884,802.5,802.4,819.78,-1
33,2014-02-09,756.0998,684.85098,689.0,38.29127444,690.2,71.24881999999991,727.0111499999999,786.5768129999999,815.057658,-78.57142857142857,21.318569764882746,45.22393976409673,-206.66919816999996,17.19025222134015,699.30255,714.12206,767.60884,802.5,802.4,-1
34,2014-02-10,748.0,550.0,690.2,29.85666843,714.56111,198.0,700.8082033333334,774.6768129999999,809.4466393333333,-100.0,21.94217279216102,67.04909122636863,-176.81252973999995,18.731588575459366,689.0,699.30255,714.12206,767.60884,802.5,0
35,2014-02-11,720.0,660.0,714.56111,33.33127352,670.6659,60.0,692.8341833333334,762.4777760000001,802.4586043333334,-57.142857142857146,33.90591188662122,66.04207819403025,-143.48125621999995,20.302886121389868,690.2,689.0,699.30255,714.12206,767.60884,1
36,2014-02-12,709.93,651.30901,670.6659,17.64185053,623.94582,58.620990000000006,697.9203700000002,751.433887,797.6106413333333,-57.142857142857146,25.868809534335142,65.64350988059736,-161.12310674999995,21.888229914187242,714.56111,690.2,689.0,699.30255,714.12206,-1
37,2014-02-13,680.0,595.6295,623.94582,44.67622419,670.33964,84.37049999999999,691.8090033333334,737.014046,792.132838,-57.142857142857146,20.149667081110636,68.31879418336916,-205.79933093999995,23.667720326743684,670.6659,714.56111,690.2,689.0,699.30255,-1
38,2014-02-14,710.0,586.43,670.33964,42.44993091,659.2834,123.57000000000005,669.7242766666667,717.430628,785.231032,-57.142857142857146,35.96507663667202,76.21182358574501,-163.34940002999994,25.439429719189683,623.94582,670.6659,714.56111,690.2,689.0,1
39,2014-02-15,682.78028,646.87689,659.2834,12.18856928,624.73111,35.903389999999945,654.9837866666667,704.224592,779.2422320000001,-57.142857142857146,34.15158949742095,70.45347593063858,-175.53796930999994,26.08335212232191,670.33964,623.94582,670.6659,714.56111,690.2,-1
40,2014-02-16,668.82486,600.0,624.73111,21.45359725,638.1016,68.82485999999994,651.18962,689.9029320000001,773.6526529999999,-57.142857142857146,29.008936727823155,70.22081651197591,-196.99156655999994,25.918210474529822,659.2834,670.33964,623.94582,670.6659,714.56111,-1
41,2014-02-17,679.05833,593.67544,638.1016,36.38625764,636.5201,85.38288999999997,651.4513833333333,675.6151590000001,767.6770233333333,-50.0,33.37638230106472,72.38682701026507,-160.60530891999994,25.699634358526183,624.73111,659.2834,670.33964,623.94582,670.6659,1
42,2014-02-18,652.50738,623.0,636.5201,20.84473994,630.16179,29.507380000000012,640.70537,668.013113,761.6300766666667,-42.85714285714286,33.10536525977158,66.26119172308435,-181.45004885999995,25.853148777051352,638.1016,624.73111,659.2834,670.33964,623.94582,0
43,2014-02-19,640.0,602.90667,630.16179,13.0034361,561.14602,37.09333000000004,633.1176033333332,661.734868,755.01408,-35.714285714285715,31.932585540776827,62.09435433407231,-194.45348495999994,25.898248971049377,636.5201,638.1016,624.73111,659.2834,670.33964,-1
44,2014-02-20,641.3624,561.14602,561.14602,52.55553649,572.2744,80.21637999999996,634.92783,655.851047,747.8939433333334,-28.571428571428573,22.290096192151495,64.68321514349054,-247.00902144999995,25.919142024297372,630.16179,636.5201,638.1016,624.73111,659.2834,-1
45,2014-02-21,597.05351,547.72277,572.2744,25.78998983,610.04308,49.33073999999999,609.27597,642.945649,738.965144,-100.0,26.32568863899466,62.49000440870618,-221.21903161999995,26.212735533572143,561.14602,630.16179,636.5201,638.1016,624.73111,1
46,2014-02-22,620.9,567.54517,610.04308,13.25737802,616.88,53.35482999999999,587.8607366666666,628.716978,730.3446243333333,-85.71428571428572,38.516717443104035,61.184979493176726,-207.96165359999995,26.576958151436102,572.2744,561.14602,630.16179,636.5201,638.1016,1
47,2014-02-23,650.27996,600.91198,616.88,21.04015547,572.0,49.36797999999999,581.1545,622.654696,722.9830946666666,-85.71428571428572,40.52104552847945,59.496836708437186,-186.92149812999995,27.021790159047114,610.04308,572.2744,561.14602,630.16179,636.5201,1
48,2014-02-24,616.90079,540.63608,572.0,29.69798167,535.59831,76.26471000000004,599.7324933333333,621.948114,716.7784496666667,-100.0,32.658650306018835,61.892247178660455,-216.61947979999994,27.90541811339963,616.88,610.04308,572.2744,561.14602,630.16179,-1
49,2014-02-25,568.09339,450.0,535.59831,60.1436847,587.27133,118.09339,599.6410266666667,612.11415,708.777783,-100.0,27.74619239159665,70.47906901028038,-276.76316449999996,29.468868327019315,572.0,616.88,610.04308,572.2744,561.14602,-1
50,2014-02-26,650.0,540.89861,587.27133,105.9319009,596.48629,109.10139000000004,574.8261033333333,599.745641,699.0736803333333,-78.57142857142857,41.74077975961279,76.7537291516689,-170.83126359999994,31.153015444382852,535.59831,572.0,616.88,610.04308,572.2744,1
51,2014-02-27,629.9,580.5,596.48629,45.76669364,573.94119,49.39999999999998,564.9565466666667,595.9996629999999,692.6493913333333,-78.57142857142857,43.91994384012718,72.84605355857335,-125.06456995999994,32.47977919826181,587.27133,535.59831,572.0,616.88,610.04308,1
52,2014-02-28,599.0,570.0,573.94119,29.32087731,575.0,29.0,573.1186433333334,591.8381320000001,685.3326010000001,-78.57142857142857,39.820343673367965,66.5823316216343,-154.38544726999993,34.347259143255656,596.48629,587.27133,535.59831,572.0,616.88,-1
53,2014-03-01,605.0,550.0,575.0,8.04168109,578.0,55.0,585.8996033333334,585.580241,677.963974,-71.42857142857143,40.11567619047064,64.92771281854368,-146.34376617999993,34.767807439093794,573.94119,596.48629,587.27133,535.59831,572.0,0
54,2014-03-02,588.079,572.41339,578.0,2.16169433,666.9435,15.665609999999901,581.8091600000001,580.064062,670.1973073333334,-57.142857142857146,41.038012740445794,57.89026955875171,-144.18207184999994,35.998546034682846,575.0,573.94119,596.48629,587.27133,535.59831,0
55,2014-03-03,700.0,583.73562,666.9435,67.8440946,680.6,116.26437999999996,575.6470633333333,581.74946,662.3909616666666,42.85714285714286,61.048143103678186,67.04880247893004,-76.33797724999994,35.98466930039517,578.0,575.0,573.94119,596.48629,587.27133,1
56,2014-03-04,720.0,661.47675,680.6,27.72139328,680.99,58.52324999999996,606.6478333333333,591.21637,657.1224116666667,50.0,63.20510789183547,65.83086641051146,-48.61658396999994,35.19223942025002,666.9435,578.0,575.0,573.94119,596.48629,1
57,2014-03-05,690.17141,660.01,680.99,5.23012654,666.70413,30.161410000000046,641.8478333333333,598.272062,652.6469346666667,50.0,63.270452264154585,60.735229780438395,-43.386457429999936,34.74456086157637,680.6,666.9435,578.0,575.0,573.94119,0
58,2014-03-06,693.0,660.1,666.70413,7.41231484,636.20048,32.89999999999998,676.1778333333333,604.6830620000001,648.0206013333334,50.0,58.95583700125135,56.758768383232905,-50.79877226999994,35.51146413726325,680.99,680.6,666.9435,578.0,575.0,-1
59,2014-03-07,680.463,628.73046,636.20048,10.85544957,636.0088,51.73253999999997,676.0980433333333,614.1534750000001,643.4974056666666,50.0,50.65764021466328,56.04073575705677,-61.654221839999934,35.217937180213,666.70413,680.99,680.6,666.9435,578.0,-1
